,Control 1,Control 2,Control 3,Control 4,Control 5,CML CP 1,CML CP 2,CML CP 3,CML CP 4,CML CP 5,CML BC 1,CML BC 2,CML BC 3,CML BC 4,CML BC 5
ENSG00000196074,17.60030884,29.20301016,14.75283954,21.18218366,11.3775732,6.719962088,14.90689758,14.77759083,7.260592535,2.73379566,1.243831018,26.04464128,5.234932202,1.03494744,2.504389378
ENSG00000196081,0.982758362,2.733286665,1.189745124,1.804160754,0.461252968,3.759978787,3.274347446,3.932745947,5.964058154,5.62840283,0.533070436,2.454782281,3.739237287,1.37992992,1.252194689
ENSG00000196083,4.288400124,3.884144209,2.696755615,5.212019955,4.766280665,21.11988085,31.27863481,20.37877445,211.8537179,108.0653343,2.843042328,23.41024078,77.5891737,23.97628235,55.09656631
ENSG00000196092,33.05641763,19.49264964,44.33783497,18.70981522,35.20897653,0.319998195,0.43083519,1.906785914,1.037227505,6.432460377,0.888450727,0.239490954,13.0873305,2.587368599,1.073309733
ENSG00000196101,14.8307171,98.61410575,54.09374499,7.751209163,0,1.999988717,0,0,0.259306876,5.950025849,1.776901455,0,301.4760063,0,10.55421238
ENSG00000196110,5.98589184,6.545502278,8.090266846,5.813406872,3.997525719,1.119993681,1.292505571,3.09852711,0.388960314,0.160811509,0,2.754145974,0.84132839,1.724912399,1.6099646
ENSG00000196116,16.97491716,26.11008052,20.3842998,18.84345676,21.3713875,23.03987002,24.81610696,32.77288289,12.18742318,6.914894905,7.996056546,3.472618837,11.96555932,9.142035717,14.13191149
ENSG00000196118,2.322883401,1.726286315,1.507010491,2.873293052,2.306264838,22.15987498,19.99075283,12.03658608,11.27984912,19.77981566,17.41363426,2.454782281,21.03320974,17.93908895,31.48375218
ENSG00000196123,4.82445014,3.740287016,3.014020982,3.94242535,5.073782644,9.119948548,11.02938087,7.388795416,5.186137525,2.89460717,18.12439484,8.561801616,11.59163559,7.589614558,10.55421238
ENSG00000196126,14.11598374,1.942072104,1.586326833,117.0031659,190.3437246,0.079999549,2.412677066,1.191741196,0,0,27.00890211,0.059872739,10.09594067,0.68996496,34.16702651
ENSG00000196139,2.948275085,9.926146312,5.710776598,3.407859201,3.382521762,9.279947646,19.04291541,2.860178871,10.24262161,10.45274811,18.47977513,2.275164066,58.33210168,92.28281337,24.32835395
ENSG00000196141,5.271158486,10.71736087,7.852317822,6.882539171,10.76256924,19.19989168,6.462527854,9.17640721,5.964058154,14.31222434,1.066140873,2.51465502,12.43296398,2.242386119,7.155398222
ENSG00000196150,5.360500155,8.343717189,4.521031473,3.207396895,8.763806385,4.159976531,2.843512256,1.072567077,0.259306876,12.22167472,1.243831018,2.335036804,7.478474574,1.55242116,7.155398222
ENSG00000196151,6.521941856,8.919145961,6.028041964,9.555369917,5.688786601,6.479963442,8.272035653,4.528616545,5.445444401,2.73379566,4.797633928,4.490455393,8.039360167,10.86694812,5.187663711
ENSG00000196152,5.539183494,5.394644735,6.107358306,5.813406872,7.380047482,3.439980593,6.807196006,3.21770123,3.370989391,6.754083396,3.731493055,3.293000621,3.832718219,4.829754719,4.114353977
ENSG00000196154,33.50312597,36.03622683,48.3829684,50.7169634,90.55933264,58.31967098,33.77747892,66.02246227,411.3903592,386.5908687,378.3023197,32.45102431,60.94956778,39.15551147,140.6035751
ENSG00000196155,2.769591747,3.021001051,2.538122932,3.608321507,3.382521762,8.799950354,1.206338533,1.549263555,0,0,8.529126983,9.459892694,4.019680083,11.55691308,6.260973444
ENSG00000196159,0.178683339,1.078928947,1.189745124,1.403236142,1.537509892,0,0.258501114,0,0,0.160811509,0,11.61531128,1.963099576,0.17249124,0.536654867
ENSG00000196167,0.536050016,1.150857543,1.348377808,1.00231153,1.076256924,1.19999323,0.344668152,1.430089435,1.555841257,0.964869057,0.177690145,0.359236431,0.373923729,0,0
ENSG00000196169,4.109716786,3.524501227,3.965817082,2.271906134,2.306264838,0,0.086167038,0.11917412,0.129653438,0,0.177690145,0.059872739,0,0,0.715539822
ENSG00000196172,20.72726727,15.60850543,4.83829684,5.880227641,17.68136376,1.999988717,5.170022283,0.953392957,0.518613752,0.160811509,4.264563491,12.5732751,5.234932202,6.899649598,1.967734511
ENSG00000196177,32.60970928,40.99929998,32.36106739,29.93570435,29.52018993,7.279958929,10.94321383,8.223014253,2.852375639,14.95547038,13.32676091,9.579638172,12.05904025,15.00673788,8.944247777
ENSG00000196182,44.13478461,52.8675184,44.81373302,41.02795195,59.65538381,52.63970302,42.48034976,99.98708636,91.27602044,97.45177471,20.07898644,42.92875356,35.99015889,42.77782751,40.07023004
ENSG00000196187,68.34637698,71.42509629,76.61958602,82.39000774,92.86559748,60.79965699,53.76823175,119.1741196,97.49938547,53.71104415,12.08292989,14.24971178,38.23370126,30.01347575,39.35469022
ENSG00000196188,0,0,0,0,0,3.039982849,3.274347446,0.11917412,0,0,2.132281746,1.25732751,0.467404661,1.724912399,8.40759291
ENSG00000196189,24.39027571,17.26286315,16.41848272,34.41269585,20.14137959,53.99969535,47.82270612,77.10565539,134.7099222,102.27612,1.421521164,8.980910786,21.2201716,23.97628235,43.64792915
ENSG00000196199,755.3838136,534.2856145,594.6346132,495.6096411,577.0274625,386.3178205,270.3921654,540.2162842,247.1194531,116.2667213,153.879666,377.1383803,202.3862182,244.420087,467.6052738
ENSG00000196204,14.29466708,11.14893245,9.359328313,13.6314368,11.3775732,6.719962088,11.80488421,8.223014253,9.594354421,2.251361132,4.797633928,8.681547093,10.09594067,9.659509437,5.008778755
ENSG00000196209,8.040750233,14.96114806,8.010950505,15.70288063,13.37633606,7.439958026,2.498844104,33.01123113,7.260592535,9.005444528,0.355380291,1.317200249,2.056580508,0.51747372,4.8298938
ENSG00000196214,72.90280211,58.76566331,46.08279449,74.83926089,35.05522554,7.19995938,9.650708262,9.772277808,14.13222476,21.06630774,20.78974702,68.9135221,27.95079872,19.83649259,12.34306193
