Sample,patientID,SOX9,FOXM1
BRCA,TCGA-Z7-A8R6-01A,205.367,54.064
BRCA,TCGA-A8-A07W-01A,238.536,51.346
BRCA,TCGA-D8-A140-01A,166.112,23.273
BRCA,TCGA-D8-A1XA-01A,175.339,21.497
BRCA,TCGA-A2-A0CY-01A,131.485,13.008
BRCA,TCGA-AR-A24M-01A,111.667,11.595
BRCA,TCGA-A2-A3XV-01A,33.598,3.458
BRCA,TCGA-GM-A2DA-01A,315.207,9.853
BRCA,TCGA-A2-A0CR-01A,164.273,4.25
BRCA,TCGA-AC-A62Y-01A,114.174,5.818
BRCA,TCGA-BH-A42V-01A,155.634,5.555
BRCA,TCGA-C8-A8HR-01A,209.288,28.028
BRCA,TCGA-D8-A1XK-01A,309.792,163.336
BRCA,TCGA-B6-A0IN-01A,191.685,11.742
BRCA,TCGA-A2-A0T6-01A,213.242,3.532
BRCA,TCGA-E9-A1NE-01A,209.075,33.113
BRCA,TCGA-AR-A5QP-01A,179.083,10.924
BRCA,TCGA-A8-A07S-01A,102.804,35.404
BRCA,TCGA-A8-A08J-01A,227.155,32.332
BRCA,TCGA-C8-A12O-01A,725.202,41.216
BRCA,TCGA-E9-A248-01A,131.646,41.431
BRCA,TCGA-EW-A1OV-01A,138.132,28.966
BRCA,TCGA-A2-A04V-01A,199.229,19.192
BRCA,TCGA-BH-A1FL-01A,272.19,23.555
BRCA,TCGA-A7-A0CH-01A,131.983,8.607
BRCA,TCGA-E2-A153-01A,199.964,5.435
BRCA,TCGA-AR-A2LE-01A,188.244,7.56
BRCA,TCGA-AC-A3W5-01A,120.144,20.424
BRCA,TCGA-WT-AB44-01A,149.528,1.123
BRCA,TCGA-S3-A6ZH-01A,195.569,31.058
BRCA,TCGA-C8-A12Y-01A,221.391,12.47
BRCA,TCGA-BH-A8FY-01A,112.412,8.532
BRCA,TCGA-3C-AAAU-01A,215.265,41.497
BRCA,TCGA-D8-A1XU-01A,149.323,7.532
BRCA,TCGA-A2-A0EM-01A,122.625,8.9
BRCA,TCGA-B6-A0IH-01A,180.332,2.404
BRCA,TCGA-C8-A278-01A,126.949,21.251
BRCA,TCGA-GM-A2DH-01A,391.907,93.782
BRCA,TCGA-BH-A0EA-01A,152.639,3.424
BRCA,TCGA-GM-A2DI-01A,268.07,6.367
BRCA,TCGA-C8-A27B-01A,220.89,62.804
BRCA,TCGA-AO-A0JJ-01A,110.451,15.726
BRCA,TCGA-EW-A1IX-01A,158.178,6.065
BRCA,TCGA-AN-A0FN-01A,112.516,9.73
BRCA,TCGA-A2-A4S0-01A,90.023,6.742
BRCA,TCGA-AO-A0J8-01A,149.899,10.162
BRCA,TCGA-C8-A132-01A,385.578,20.62
BRCA,TCGA-A8-A09C-01A,158.908,28.056
BRCA,TCGA-3C-AALJ-01A,129.315,28.592
BRCA,TCGA-B6-A1KC-01B,288.755,34.792
BRCA,TCGA-A2-A4RX-01A,105.405,16.806
BRCA,TCGA-A7-A0CJ-01A,168.302,39.017
BRCA,TCGA-B6-A0RL-01A,255.751,49.274
BRCA,TCGA-AR-A1AQ-01A,273.553,86.633
BRCA,TCGA-BH-A0B2-01A,353.976,8.983
BRCA,TCGA-E2-A15E-01A,271.694,16.628
BRCA,TCGA-D8-A1JT-01A,315.466,18.157
BRCA,TCGA-E9-A1RA-01A,301.063,10.821
BRCA,TCGA-OL-A66O-01A,120.095,17.881
BRCA,TCGA-PE-A5DC-01A,234.043,34.281
BRCA,TCGA-BH-A0HI-01A,109.376,9.117
BRCA,TCGA-AN-A0AS-01A,292.125,13.678
BRCA,TCGA-EW-A1OX-01A,108.977,19.518
BRCA,TCGA-A7-A26J-01A,182.988,43.447
BRCA,TCGA-A1-A0SK-01A,271.989,341.738
BRCA,TCGA-EW-A2FW-01A,100.482,72.023
BRCA,TCGA-BH-A18T-01A,290.553,175.679
BRCA,TCGA-D8-A147-01A,106.623,82.743
BRCA,TCGA-A8-A09G-01A,171.76,33.774
BRCA,TCGA-BH-A18F-01A,195.162,38.707
BRCA,TCGA-AC-A6IW-01A,157.423,60.523
BRCA,TCGA-AR-A1AJ-01A,244.403,49.812
BRCA,TCGA-C8-A12Z-01A,130.642,35.794
BRCA,TCGA-BH-A1FN-01A,295.841,43.036
BRCA,TCGA-BH-A0E9-01B,200.178,10.326
BRCA,TCGA-A2-A259-01A,163.687,5.072
BRCA,TCGA-B6-A0RH-01A,197.871,7.504
