,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000125841,228.9032235,1.352663236,0.237904822,5.68573274,2.65E-11,6.40E-07,CAND2
ENSG00000172780,2129.390344,1.66708301,0.29330657,5.683756104,2.73E-11,6.45E-07,PLXND1
ENSG00000278741,365.9746047,1.867676109,0.328620334,5.683385708,2.74E-11,6.45E-07,AK1
ENSG00000144712,113.1710316,2.33614823,0.411573055,5.676144732,2.85E-11,6.70E-07,LOC102546299
ENSG00000004399,1164.814979,3.002475085,0.531068678,5.653647464,3.17E-11,7.58E-07,IRAG2
ENSG00000276016,2876.391728,1.270263494,0.224765982,5.651493539,3.50E-11,7.66E-07,ANKDD1B
ENSG00000106992,154.1962218,2.68247842,0.474905911,5.648441848,3.50E-11,7.78E-07,ID3
ENSG00000241956,59.01963319,1.367826487,0.242226948,5.646879902,3.53E-11,7.83E-07,GH1
ENSG00000118308,4716.689186,1.425229195,0.252461179,5.645339999,3.65E-11,7.88E-07,CTPS2
ENSG00000189045,19.42802113,3.236082993,0.57341706,5.643506649,4.07E-11,7.94E-07,AJUBA
ENSG00000117318,2212.877276,3.228165674,0.572119153,5.642470904,4.14E-11,7.95E-07,FAM114A1
ENSG00000283060,2212.812744,3.228123102,0.572114333,5.642444031,4.48E-11,7.95E-07,MTHFD2P1
ENSG00000259384,27.96223783,2.386233763,0.42531173,5.610552442,4.71E-11,9.43E-07,ZNF266
ENSG00000047230,545.8478944,1.599137894,0.285711244,5.597042215,4.74E-11,1.01E-06,VIPR1
ENSG00000129474,63.24473381,2.880076182,0.515895881,5.582669463,5.90E-11,1.09E-06,SLC29A4
ENSG00000197712,68.74778769,2.704974579,0.48479968,5.579571712,6.02E-11,1.11E-06,PRAG1
ENSG00000244681,493.1867635,5.59483633,1.003447366,5.575615145,6.11E-11,1.13E-06,XXYLT1-AS2
ENSG00000174652,4104.327165,2.232567304,0.401114973,5.565903684,6.15E-11,1.17E-06,MARVELD3
ENSG00000114812,1002.506605,4.4692206,0.803193643,5.564312715,6.39E-11,1.18E-06,ADAMTS6
ENSG00000164638,56.2844464,3.199367117,0.5754282,5.559976233,6.52E-11,1.20E-06,DPEP2
ENSG00000275342,1846.475103,1.553760875,0.280041741,5.548318876,6.79E-11,1.28E-06,COLGALT1
ENSG00000230266,59.50365251,3.964737917,0.71528731,5.542860695,6.94E-11,1.32E-06,TNFRSF10D
ENSG00000140832,42.37500406,3.003983302,0.54303694,5.531821286,7.19E-11,1.39E-06,CDK10
ENSG00000049192,332.5323525,1.817278168,0.329134563,5.521383562,7.40E-11,1.46E-06,ZNF528-AS1
ENSG00000167261,1773.561073,1.277813975,0.231455479,5.520776535,8.12E-11,1.46E-06,HYI
ENSG00000130309,2074.724245,1.21739353,0.220548717,5.519839539,8.15E-11,1.47E-06,ADM5
ENSG00000173530,332.6831174,1.808774674,0.328006005,5.514455968,8.45E-11,1.51E-06,SERINC5
ENSG00000185324,617.4966611,1.200471973,0.218621936,5.49108655,9.45E-11,1.71E-06,TTLL3
ENSG00000269834,186.8537387,1.544951533,0.28250832,5.468693915,9.53E-11,1.91E-06,CYP4F35P
ENSG00000178922,261.9877583,1.515989658,0.277721231,5.458673986,9.67E-11,2.01E-06,GLYATL2
ENSG00000224420,106.4414254,2.018207737,0.369940264,5.455496293,1.04E-10,2.04E-06,PKN3
ENSG00000164300,1458.751052,2.435647004,0.447860121,5.438410095,1.07E-10,2.23E-06,ZBED3
ENSG00000214021,607.1928621,1.476451532,0.271490863,5.438310205,1.15E-10,2.23E-06,P2RX7
ENSG00000265787,39.63629678,3.896969031,0.717882632,5.428420824,1.33E-10,2.34E-06,PDE4A
ENSG00000156689,40.5946003,5.679995639,1.051474766,5.401932432,1.35E-10,2.67E-06,MYH7B
ENSG00000160447,223.9124859,2.359976359,0.437955432,5.388622186,1.56E-10,2.85E-06,ASIC3
ENSG00000132846,169.4958891,1.935462522,0.35961852,5.381987894,1.58E-10,2.94E-06,STARD7
ENSG00000089041,313.9875254,1.580479591,0.293721261,5.3808825,1.66E-10,2.96E-06,TNFRSF10B
ENSG00000065989,735.3849412,1.986242963,0.369671046,5.373001164,1.67E-10,3.08E-06,SPRY2
ENSG00000078814,55.48774371,1.797987621,0.334655328,5.372655003,1.67E-10,3.08E-06,WNT9A
