,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000074842,340.2976866,1.833325589,0.312008607,5.875881449,4.21E-09,4.85E-10,MYDGF
ENSG00000111775,307.6320133,2.357007199,0.40135007,5.872696617,4.29E-09,4.88E-10,COX6A1
ENSG00000163220,146095.7874,4.542931926,0.773826552,5.870736683,4.34E-09,4.93E-10,S100A9
ENSG00000118705,1801.148079,1.787890754,0.30510594,5.859901492,4.63E-09,5.82E-10,RPN2
ENSG00000122778,41.17233759,4.269647446,0.729244008,5.854895482,4.77E-09,5.89E-10,KIAA1549
ENSG00000245857,18.42748658,7.522543663,1.285394865,5.852321236,4.85E-09,5.92E-10,GS1-24F4.2
ENSG00000114126,1030.083877,2.262707725,0.386788986,5.849979726,4.92E-09,6.08E-10,TFDP2
ENSG00000138778,403.5659766,2.626181477,0.448942175,5.849709878,4.92E-09,6.16E-10,CENPE
ENSG00000145912,467.7697432,2.056649147,0.352348946,5.836966939,5.32E-09,6.24E-10,NHP2
ENSG00000213347,263.4888778,2.375061473,0.406961439,5.836084816,5.34E-09,6.54E-10,MXD3
ENSG00000141627,416.5188196,1.776354407,0.304496337,5.8337464,5.42E-09,6.70E-10,DYM
ENSG00000177556,86.66592381,2.622049192,0.449776294,5.82967406,5.55E-09,6.85E-10,ATOX1
ENSG00000126267,821.2011124,2.550150037,0.437929358,5.823199538,5.77E-09,6.92E-10,COX6B1
ENSG00000084693,210.5193478,1.621261552,0.278436218,5.822739453,5.79E-09,6.99E-10,AGBL5
ENSG00000120254,222.8200153,3.156245066,0.542229393,5.820866786,5.85E-09,7.59E-10,MTHFD1L
ENSG00000183242,13.81378329,7.110654473,1.222228259,5.817779471,5.96E-09,7.68E-10,WT1-AS
