Ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000084112,4388.213122,1.191900892,0.17593213,6.774776683,1.25E-11,4.24E-10,SSH1
ENSG00000103723,133.0582652,3.182831116,0.469994131,6.77206566,1.27E-11,4.30E-10,AP3B2
ENSG00000163221,17150.57318,2.584601433,0.381861322,6.768429495,1.30E-11,4.39E-10,S100A12
ENSG00000101188,169.1047716,2.576826384,0.381382464,6.756541336,1.41E-11,4.73E-10,NTSR1
ENSG00000073111,1165.688894,1.422686359,0.210646793,6.753895176,1.44E-11,4.80E-10,MCM2
ENSG00000224041,116.5464482,2.928663508,0.433660171,6.753360591,1.44E-11,4.81E-10,IGKV3D-15
ENSG00000186603,31.61483127,2.712637492,0.401899486,6.749542076,1.48E-11,4.92E-10,HPDL
ENSG00000104918,995.2707211,3.692985868,0.547475859,6.745477094,1.53E-11,5.03E-10,RETN
ENSG00000180509,692.5662349,2.372498293,0.351706579,6.745675054,1.52E-11,5.03E-10,KCNE1
ENSG00000215244,184.4341904,2.150787571,0.319037414,6.741490109,1.57E-11,5.17E-10,LINC02649
ENSG00000277571,2242.455062,4.79729663,0.711914642,6.73858402,1.60E-11,5.26E-10,ELANE
ENSG00000166451,196.4201812,1.137907345,0.168955701,6.734944962,1.64E-11,5.38E-10,CENPN
ENSG00000106070,2594.919901,3.304298273,0.490880593,6.731368725,1.68E-11,5.48E-10,GRB10
ENSG00000158406,879.8320826,2.148079356,0.319680265,6.719461891,1.82E-11,5.93E-10,H4C8
ENSG00000165030,4412.009879,1.469481322,0.218688925,6.719504988,1.82E-11,5.93E-10,NFIL3
ENSG00000162433,147.3925845,1.23597343,0.184111537,6.713177514,1.90E-11,6.17E-10,AK4
ENSG00000164236,747.0388876,1.316339221,0.196101292,6.712547404,1.91E-11,6.19E-10,ANKRD33B
ENSG00000115902,1371.956265,1.485755913,0.221369078,6.711668707,1.92E-11,6.22E-10,SLC1A4
ENSG00000232453,29.34583506,1.68453273,0.251004395,6.711168275,1.93E-11,6.23E-10,LINC02777
ENSG00000112312,331.1184428,1.216551044,0.181341921,6.708603498,1.96E-11,6.33E-10,GMNN
ENSG00000211670,526.1364958,3.455577149,0.515363765,6.705122446,2.01E-11,6.45E-10,IGLV3-9
ENSG00000186193,207.8210744,1.923024014,0.286860543,6.703689503,2.03E-11,6.50E-10,SAPCD2
ENSG00000012171,58.34803355,1.688959084,0.25230346,6.694157446,2.17E-11,6.90E-10,SEMA3B
ENSG00000115155,1048.33489,4.286008563,0.640573518,6.690892528,2.22E-11,7.04E-10,OTOF
ENSG00000100393,10206.63109,1.011761851,0.151368384,6.684102868,2.32E-11,7.31E-10,EP300
ENSG00000276349,30.7865486,22.5976239,3.38072557,6.684252664,2.32E-11,7.31E-10,TBC1D3
ENSG00000140939,131.9287551,1.398414857,0.209417879,6.677628778,2.43E-11,7.61E-10,NOL3
ENSG00000180596,924.0686978,1.758353662,0.26363639,6.669616658,2.56E-11,8.01E-10,H2BC4
ENSG00000258227,874.7935721,1.864705009,0.279653532,6.667911529,2.59E-11,8.09E-10,CLEC5A
ENSG00000116717,957.0483435,2.204179969,0.330822376,6.662729387,2.69E-11,8.36E-10,GADD45A
ENSG00000083444,3307.1011,1.084206936,0.162733647,6.662463222,2.69E-11,8.37E-10,PLOD1
ENSG00000280908,9795.383596,1.999504505,0.300221005,6.660108618,2.74E-11,8.49E-10,PADI4
ENSG00000140525,857.0196335,1.271894381,0.191294486,6.648881574,2.95E-11,9.12E-10,FANCI
ENSG00000173744,6904.690073,1.516469153,0.228211854,6.645006049,3.03E-11,9.35E-10,AGFG1
ENSG00000198826,294.0831505,2.491506462,0.374966086,6.64461815,3.04E-11,9.36E-10,ARHGAP11A
ENSG00000076382,706.5741246,1.544580321,0.232680677,6.63819764,3.18E-11,9.73E-10,SPAG5
ENSG00000177628,4097.296579,1.264867701,0.190539549,6.638347299,3.17E-11,9.73E-10,GBA
ENSG00000048462,885.0889232,2.385289284,0.35934198,6.637936617,3.18E-11,9.73E-10,TNFRSF17
ENSG00000182541,11776.3114,1.621215874,0.244715704,6.62489512,3.47E-11,1.06E-09,LIMK2
ENSG00000105707,41.4948213,2.670487817,0.403767195,6.613929639,3.74E-11,1.13E-09,HPN
ENSG00000138772,6281.742601,2.509153116,0.379543899,6.610969429,3.82E-11,1.16E-09,ANXA3
ENSG00000100330,12227.80289,1.21700919,0.184600756,6.592655499,4.32E-11,1.30E-09,MTMR3
ENSG00000070614,4701.338516,1.074111293,0.163024343,6.58865587,4.44E-11,1.33E-09,NDST1
ENSG00000188404,103625.2856,1.043222078,0.158578575,6.57858148,4.75E-11,1.42E-09,SELL
ENSG00000068024,3437.420192,1.057196231,0.160722987,6.577753739,4.78E-11,1.43E-09,HDAC4
ENSG00000213949,502.1286727,1.502596315,0.228710759,6.569854094,5.04E-11,1.50E-09,ITGA1
ENSG00000165185,670.0146664,1.903338504,0.290072619,6.561593125,5.32E-11,1.58E-09,KIAA1958
