"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",1121.76160827624,0.874640311142556,0.0872839150902404,10.0206356490573,1.23704757694948e-23,3.21661545657265e-22
"ENSG00000000419",2078.02508747108,0.127021124066156,0.0377110141308322,3.36827653654386,0.000756396864427512,0.00188160546712846
"ENSG00000000457",211.084740374675,-0.00652393801442247,0.0531189643037817,-0.122817492771748,0.902251621903737,0.925418562795488
"ENSG00000000938",3400.21169203509,-0.71734644215143,0.0993910795449635,-7.21741272391462,5.298597930387e-13,4.49016465661158e-12
"ENSG00000000971",5947.62326630582,1.40039406895868,0.0757684280322568,18.4825540839054,2.8534805055491e-76,7.8649056434197e-73
"ENSG00000001036",1804.53484914494,0.0664511178278182,0.0419249799811837,1.58500058575203,0.112966201182882,0.165201269139312
"ENSG00000001084",874.225254277281,0.851398259979465,0.0852991166541084,9.9813256382469,1.83991964225154e-23,4.64190252993667e-22
"ENSG00000001167",598.451778442064,-0.14444950126912,0.0503474137375436,-2.86905504267055,0.00411700146153801,0.00879650021578616
"ENSG00000001460",183.342819902883,0.381573940102389,0.111275719692566,3.42908534904656,0.000605619047730884,0.00153882230957202
"ENSG00000001461",673.639597521463,-0.197594541051523,0.0455563991312175,-4.33736082789128,1.44203785009997e-05,4.82210109109861e-05
"ENSG00000001497",1060.52302236603,-0.011115514805876,0.0294562849705071,-0.377356303315417,0.705908835491375,0.766687509732283
"ENSG00000001617",1046.31431873383,-0.496349704042295,0.0849576951987033,-5.84231602424486,5.14800266804763e-09,2.81252375694872e-08
"ENSG00000001626",485.059067689854,-0.383446367219925,0.0956856294462192,-4.00735585311109,6.1402313510444e-05,0.000186233977015858
"ENSG00000001629",169.789431303426,-0.256744715470301,0.114595659983442,-2.24044013104334,0.0250623634122524,0.0441252885052831
"ENSG00000001631",1061.94175515773,-0.129700187651427,0.0352490054731488,-3.67954176041158,0.000233653426704278,0.000642721813726213
"ENSG00000002016",554.486802174476,0.00455713936323202,0.0822379942391167,0.0554140383091251,0.955808612068987,0.966060684640684
"ENSG00000002330",3694.59322701063,0.00493594342610573,0.0490325403105959,0.100666687771816,0.919815056309421,0.938804017386722
"ENSG00000002549",5046.09332505496,-0.094192014363794,0.0693149118567735,-1.35889972071846,0.174178367378114,0.240129611147144
"ENSG00000002586",1881.60217675776,0.168007272815625,0.0684737178718547,2.45360231687788,0.0141433297398929,0.0264467792371641
"ENSG00000002822",974.742611614247,-0.171348505944248,0.0673807023657856,-2.5429907960006,0.0109908124208807,0.0211480211095645
"ENSG00000002834",629.414325059244,0.0365199582805477,0.0746745811710216,0.489054745374584,0.624802939223998,0.696592258060587
"ENSG00000002919",980.071068787608,-0.126141537624586,0.0284411836197148,-4.4351718729859,9.19988604428693e-06,3.16766844591703e-05
"ENSG00000002933",1336.39127602616,0.819938260800295,0.09317166455758,8.80029636363934,1.36455312253039e-18,2.1040836609647e-17
"ENSG00000003056",4061.92419943649,-0.0559385050879938,0.0416246570645185,-1.34387906190527,0.178987497783986,0.245684407752545
"ENSG00000003137",176.390779048136,0.0307435211411559,0.15535900688817,0.197886957164226,0.843133509064011,0.879260966461476
"ENSG00000003147",917.632547061888,0.00225759545231562,0.0496883469330786,0.0454351088667974,0.963760497043201,0.972582103423459
"ENSG00000003249",224.354200984241,0.252526892111812,0.0827935050672147,3.05008094423351,0.00228779698162644,0.00517102001343729
"ENSG00000003393",198.542280444953,-0.0807438515566037,0.0632344095239031,-1.27689737540891,0.201638480875486,0.271502717593091
"ENSG00000003400",709.564425762612,0.050735298376418,0.0416137381953796,1.21919588521973,0.222769853343175,0.295516500193539
"ENSG00000003402",6081.78273332149,-0.473225850617478,0.0671764636340958,-7.04451864562411,1.86103727508899e-12,1.49329956025154e-11
"ENSG00000003436",3064.55462786277,-0.706541707939351,0.0673761984626752,-10.4865178514154,9.96328372900126e-26,3.22126695343809e-24
"ENSG00000003509",349.583024205676,-0.0663247391056583,0.0573768930005076,-1.15594859946619,0.247702182127572,0.324141223506929
"ENSG00000003756",5434.20324517722,-0.0284469191301849,0.0424483908697157,-0.670153062279682,0.502760221927915,0.584574082129853
"ENSG00000003989",500.87106045104,0.378345895906246,0.104219853688975,3.63026700301605,0.000283128185559914,0.00076544586704219
"ENSG00000004059",785.297914215607,-0.176161055613237,0.0540771315840897,-3.25758875245274,0.00112363115148524,0.00270481079587877
"ENSG00000004139",316.375903603343,0.0253100635085327,0.0507810352950193,0.498415665641522,0.618191097351226,0.69018297197947
"ENSG00000004399",8279.67525894096,-0.313129512991974,0.0530036208793809,-5.90770041361051,3.46916161735098e-09,1.93071715453279e-08
"ENSG00000004455",5157.12845036813,0.123724364670006,0.029482786623556,4.19649493278067,2.71077523934352e-05,8.69546028913656e-05
"ENSG00000004478",339.914445198505,0.127316219093192,0.114232957257307,1.11453141151213,0.265051276538174,0.342745399358827
"ENSG00000004487",1777.17820597095,0.0971738499483022,0.0261813256464569,3.71157103580249,0.000205976844160041,0.000571725757015221
"ENSG00000004534",3570.24192605055,0.117528621726782,0.0593567622867377,1.98003760985194,0.0476993027610701,0.0780939728156814
"ENSG00000004660",313.818969745724,-0.0224425807686358,0.0682359549370067,-0.328896705400461,0.742233764620993,0.7974980269902
"ENSG00000004700",344.196687491996,-0.135918471494445,0.106307496033121,-1.2785408044236,0.201058806871868,0.270884791094891
"ENSG00000004766",176.991012785444,-0.0907660996863129,0.0656097994506315,-1.38342291008846,0.16653522979323,0.230920753171974
"ENSG00000004777",734.341691629074,0.165545417557979,0.0943372137918644,1.7548262335076,0.0792890349157652,0.121614024756025
"ENSG00000004779",178.854667833777,0.186863115047354,0.0698124334854634,2.67664520083322,0.00743633359849873,0.0150019355761113
"ENSG00000004799",656.423745281176,-0.464760270800809,0.222348323425415,-2.09023510337693,0.0365966856620011,0.0617411567595351
"ENSG00000004838",2827.38091558489,2.01330741355463,0.241415914619456,8.33958033267277,7.45546530309698e-17,9.58001223387461e-16
"ENSG00000004864",637.30247970333,-0.0208681263942228,0.0385544760860456,-0.541263389175605,0.588326051140627,0.664307119400391
"ENSG00000004866",1359.03291528455,-0.469968374854531,0.0476622916103529,-9.86038142472461,6.18141225290202e-23,1.4847509823147e-21
