,ID,adj.P.Val,P.Value,logFC,Gene.symbol
10484,ILMN_2354478,0.00665,0.00143,-1.0983071,
10522,ILMN_2366212,0.00674,0.00145,-1.4251936,
10564,ILMN_1677038,0.00682,0.00148,-1.2436456,
10585,ILMN_2311020,0.00686,0.00149,-1.1379163,
10593,ILMN_1805826,0.00689,0.0015,-1.2134278,
10624,ILMN_1807277,0.00694,0.00151,2.2493144,
10646,ILMN_1688775,0.00701,0.00153,1.1096992,
10684,ILMN_1654396,0.0071,0.00155,1.1171501,
10727,ILMN_2411897,0.00721,0.00158,1.0689085,
10785,ILMN_1915076,0.00734,0.00162,-1.3421608,
10798,ILMN_2176063,0.00736,0.00163,1.4474644,
10804,ILMN_1743290,0.00737,0.00163,-1.7658639,
10813,ILMN_1745021,0.00742,0.00164,1.24901,
10818,ILMN_1661631,0.00743,0.00165,2.5568902,
10833,ILMN_1694432,0.00746,0.00166,1.2480421,
10861,ILMN_1764788,0.00755,0.00168,1.4218587,
10863,ILMN_1719661,0.00756,0.00168,1.3115737,
10882,ILMN_1705183,0.00759,0.00169,-2.1502923,
10903,ILMN_2310896,0.00764,0.00171,1.2561222,
11004,ILMN_1712026,0.00794,0.00179,1.2282871,
11021,ILMN_2100574,0.00798,0.0018,-1.1387619,
11026,ILMN_1727574,0.00799,0.00181,-1.070642,
11085,ILMN_1680424,0.00814,0.00185,-2.7703212,
11126,ILMN_1796642,0.00826,0.00188,1.2104502,
11182,ILMN_1810275,0.0084,0.00193,2.4572153,
11197,ILMN_1688373,0.00845,0.00194,1.5465395,
11239,ILMN_1793729,0.00857,0.00197,1.0229598,
11257,ILMN_1880280,0.00863,0.00199,-1.0489014,
11314,ILMN_1718977,0.00878,0.00204,1.3491714,
11324,ILMN_1669831,0.00879,0.00204,-1.1462608,
11339,ILMN_2130525,0.00884,0.00205,-1.2430395,
11389,ILMN_1716195,0.009,0.0021,1.5117234,
11402,ILMN_1801246,0.00904,0.00211,1.633205,
11397,ILMN_2216815,0.00902,0.00211,-1.2978877,
11424,ILMN_1715131,0.0091,0.00213,1.0500646,
11437,ILMN_2224143,0.00914,0.00214,-1.1345621,
11499,ILMN_1667796,0.0093,0.00219,2.1450413,
11575,ILMN_2289849,0.00957,0.00227,1.3039983,
11581,ILMN_1656415,0.0096,0.00228,1.5772001,
11593,ILMN_1656361,0.00963,0.00229,1.4099201,
11596,ILMN_1680196,0.00963,0.00229,-1.8017494,
11637,ILMN_2267914,0.00974,0.00232,1.2739682,
11644,ILMN_1811579,0.00976,0.00233,1.4696756,
11706,ILMN_1803367,0.00991,0.00238,-1.5656186,
11760,ILMN_1669881,0.0101,0.00243,-1.5333937,
11808,ILMN_1737184,0.0102,0.00248,-2.0729034,
11857,ILMN_2087646,0.0104,0.00252,1.0137837,
11866,ILMN_1679391,0.0104,0.00253,2.2842555,
11940,ILMN_2329429,0.0107,0.00261,1.1480358,
11991,ILMN_1710075,0.0109,0.00267,-1.1000216,
12100,ILMN_2374904,0.0113,0.00279,-1.080577,
12159,ILMN_1759117,0.0114,0.00285,-1.1647905,
12194,ILMN_2085862,0.0116,0.00289,1.8893111,
12338,ILMN_1744268,0.0119,0.00301,1.0075298,
12409,ILMN_1751607,0.0121,0.00309,-1.6132386,
12430,ILMN_1860003,0.0122,0.00312,-1.3186273,
12530,ILMN_2373062,0.0125,0.00322,1.0099977,
12616,ILMN_1687301,0.0128,0.00331,2.3171447,
12661,ILMN_1661196,0.013,0.00339,1.1787882,
12712,ILMN_1752520,0.0133,0.00347,-1.2187847,
12748,ILMN_2311537,0.0134,0.0035,-1.1628441,
12789,ILMN_2327860,0.0135,0.00355,1.1590046,
12829,ILMN_2285817,0.0137,0.0036,-1.0603025,
12869,ILMN_1787529,0.0138,0.00365,1.22286,
12876,ILMN_1740015,0.0139,0.00367,2.5654149,
12877,ILMN_2201580,0.0139,0.00367,-1.3160566,
12898,ILMN_2316386,0.014,0.00369,1.5164562,
12929,ILMN_1653292,0.0141,0.00374,1.063197,
12969,ILMN_2067852,0.0143,0.00379,1.0845936,
12978,ILMN_1785424,0.0143,0.00381,-1.2507023,
13009,ILMN_2362858,0.0144,0.00385,1.4622178,
13023,ILMN_2391861,0.0145,0.00387,-1.1551641,
13029,ILMN_1724250,0.0145,0.00388,1.3055654,
13152,ILMN_1792538,0.015,0.00404,1.4157031,
13174,ILMN_1687768,0.0151,0.00407,-1.1485476,
13206,ILMN_1750974,0.0152,0.00411,2.3028537,
13211,ILMN_1741165,0.0152,0.00412,1.9798627,
13228,ILMN_1713990,0.0153,0.00414,-1.0911814,
13275,ILMN_1716105,0.0155,0.00421,1.3525235,
13281,ILMN_1763837,0.0155,0.00422,1.1820987,
13329,ILMN_1682717,0.0157,0.00428,1.5730094,
13424,ILMN_1690125,0.0161,0.00443,1.1122496,
13431,ILMN_1690939,0.0161,0.00444,1.2141505,
13513,ILMN_1786720,0.0165,0.00457,-2.4071346,
13538,ILMN_1766551,0.0166,0.0046,-2.1545066,
13561,ILMN_1790508,0.0167,0.00464,-1.0448667,
13578,ILMN_2317580,0.0167,0.00466,-1.3666482,
13633,ILMN_1692058,0.017,0.00474,-1.8883052,
13663,ILMN_1678939,0.0171,0.0048,1.6210004,
13675,ILMN_1811410,0.0172,0.00482,-1.3258477,
13709,ILMN_1794875,0.0173,0.00487,1.262699,
13726,ILMN_1768139,0.0174,0.00489,1.229757,
13757,ILMN_1707312,0.0175,0.00494,1.1585334,
13865,ILMN_1761260,0.018,0.0051,-1.108805,
13883,ILMN_2112988,0.018,0.00513,1.6766627,
13916,ILMN_1750674,0.0182,0.00519,1.2011027,
13959,ILMN_1765701,0.0184,0.00527,-1.003984,
14014,ILMN_2101832,0.0188,0.00539,-1.5725334,
14027,ILMN_2390853,0.0188,0.00541,1.7492033,
14097,ILMN_1738401,0.0192,0.00554,2.7810497,
14151,ILMN_2112256,0.0194,0.00563,1.528844,
14178,ILMN_1693826,0.0195,0.00568,1.2079228,
14176,ILMN_1696512,0.0195,0.00568,-2.2343079,
14213,ILMN_2041101,0.0198,0.00575,1.0962376,
14283,ILMN_1789627,0.0201,0.00589,-1.929252,
14312,ILMN_1718936,0.0204,0.00597,1.4261794,
14324,ILMN_1730454,0.0204,0.00599,1.4309362,
14384,ILMN_1711899,0.0208,0.00612,1.1995345,
14386,ILMN_2165369,0.0208,0.00612,1.0033312,
14429,ILMN_1687757,0.021,0.00622,-1.2147263,
14470,ILMN_1810289,0.0212,0.00629,1.2559639,
14487,ILMN_1655987,0.0213,0.00632,1.3911562,
14485,ILMN_1761312,0.0213,0.00632,-1.2616801,
14561,ILMN_1715068,0.0217,0.00648,1.9035551,
14578,ILMN_2132809,0.0218,0.00651,-1.2031297,
14596,ILMN_1806165,0.0219,0.00654,1.4315433,
14635,ILMN_1815086,0.0221,0.00662,1.3033305,
14659,ILMN_1759563,0.0222,0.00667,1.1062913,
14710,ILMN_2092118,0.0225,0.00677,1.9887507,
14754,ILMN_2396444,0.0227,0.00686,2.5909219,
14766,ILMN_1696183,0.0228,0.00689,-1.4203833,
14784,ILMN_1758311,0.0228,0.00692,-1.0670846,
14811,ILMN_1762713,0.023,0.00697,1.9699358,
14829,ILMN_1711894,0.0231,0.00702,-1.1852209,
14855,ILMN_1917341,0.0232,0.00707,1.2388845,
14890,ILMN_1729915,0.0235,0.00717,1.0009529,
14930,ILMN_1667711,0.0237,0.00726,1.1626417,
14934,ILMN_2355033,0.0237,0.00727,-1.1102577,
15016,ILMN_1808122,0.0243,0.00749,-1.7253678,
15088,ILMN_1660436,0.0247,0.00763,1.6428256,
15090,ILMN_1670302,0.0247,0.00764,1.8231747,
15113,ILMN_1730628,0.0249,0.0077,-1.6494638,
15174,ILMN_2091454,0.0252,0.00782,1.3437745,
15185,ILMN_2241953,0.0252,0.00785,1.2501606,
15280,ILMN_1682761,0.0259,0.00811,1.0847439,
15287,ILMN_2204876,0.0259,0.00813,1.2786224,
15327,ILMN_1762594,0.0262,0.00823,1.148367,
15343,ILMN_1790891,0.0263,0.00826,1.2072468,
15416,ILMN_1793990,0.0267,0.00845,1.2762527,
15417,ILMN_2123743,0.0268,0.00845,1.5662666,
15432,ILMN_1696317,0.0268,0.00847,1.0671294,
15443,ILMN_2317581,0.0269,0.0085,-1.4480771,
15539,ILMN_1654946,0.0274,0.00872,-1.2218205,
15585,ILMN_2131861,0.0277,0.00884,-1.8300713,
15637,ILMN_1704985,0.0279,0.00895,1.2997409,
15737,ILMN_1764709,0.0287,0.00926,2.1887284,
15742,ILMN_1730291,0.0287,0.00927,1.0024659,
15759,ILMN_1805228,0.0288,0.00931,1.0538497,
15775,ILMN_1774874,0.0289,0.00934,1.2030719,
15834,ILMN_2105441,0.0293,0.00949,-1.0436211,
15868,ILMN_1748915,0.0295,0.00961,1.7222579,
15892,ILMN_2199768,0.0297,0.00967,1.2659486,
16005,ILMN_1733998,0.0304,0.00998,1.5410403,
