,ID,adj.P.Val,P.Value,logFC,Gene.symbol
4827,ILMN_1780671,0.000461,4.56E-05,1.3151004,BIRC3
4838,ILMN_1794017,0.000464,4.60E-05,1.2937854,SLC7A1
4843,ILMN_1710734,0.000465,4.62E-05,1.4630282,GINS2
4845,ILMN_2368718,0.000466,4.63E-05,-1.4143744,CA5B
4853,ILMN_1721127,0.00047,4.68E-05,1.2326901,RNFT2
4880,ILMN_1771593,0.000478,4.78E-05,-1.1962709,RPPH1
4905,ILMN_2145116,0.000485,4.87E-05,1.001072,DNAJC12
4921,ILMN_2100458,0.00049,4.94E-05,-1.3597151,ELF4
4966,ILMN_2352023,0.000499,5.08E-05,-1.1312057,LGALS1
5010,ILMN_1727271,0.000512,5.26E-05,1.1716438,FCER1A
5014,ILMN_2056032,0.000514,5.28E-05,1.4023832,ANXA2
5070,ILMN_1749662,0.00053,5.50E-05,1.0563004,BCL2
5110,ILMN_1710514,0.000542,5.68E-05,1.0721246,LOC606724
5117,ILMN_1755862,0.000547,5.73E-05,-1.1944791,RHOC
5124,ILMN_1749297,0.000548,5.76E-05,-1.2148968,TPGS2
5141,ILMN_1808202,0.000555,5.85E-05,1.0705775,SMC4
5156,ILMN_1797298,0.000561,5.93E-05,1.2085133,BRI3
5174,ILMN_1693552,0.00057,6.04E-05,1.6226018,IFITM2
5189,ILMN_2043918,0.000577,6.13E-05,-1.0267234,RBPMS2
5196,ILMN_1791792,0.000581,6.19E-05,1.034093,TBC1D2
5199,ILMN_2215545,0.000582,6.20E-05,-1.0950894,NOC3L
5201,ILMN_1653220,0.000582,6.21E-05,1.26875,FGFBP2
5206,ILMN_1672006,0.000582,6.21E-05,-1.0573989,SHD
5270,ILMN_1683450,0.000607,6.55E-05,-1.5119244,ADGRE1
5277,ILMN_1805064,0.000608,6.57E-05,-1.2817038,HTATIP2
5291,ILMN_1792323,0.000614,6.66E-05,-3.2404508,FCGR1B
5318,ILMN_1809522,0.000626,6.82E-05,1.5445197,HIST1H4E
5333,ILMN_2127842,0.000634,6.93E-05,2.9331957,TMEM154
5341,ILMN_2370091,0.000641,7.01E-05,-2.6952566,ABLIM1
5348,ILMN_1675391,0.000644,7.06E-05,1.0309243,LMNA
5372,ILMN_1797903,0.000651,7.17E-05,-1.413835,F12
5439,ILMN_1792495,0.000687,7.66E-05,1.2887497,EHD4
5441,ILMN_1660364,0.000687,7.66E-05,1.6437059,ANXA2P1
5469,ILMN_1745852,0.000697,7.81E-05,-1.0263135,CEBPA
5477,ILMN_1729208,0.000698,7.84E-05,-1.4690846,ITGB7
5482,ILMN_2046730,0.000699,7.86E-05,2.1322836,IER5
5490,ILMN_1768482,0.000701,7.89E-05,1.3211048,LY6E
5498,ILMN_2349459,0.000706,7.95E-05,-1.2770616,PTK2
5506,ILMN_1801934,0.000707,7.98E-05,1.0635086,CA1
5528,ILMN_1721901,0.000714,8.09E-05,-1.3174515,STXBP2
5535,ILMN_1716382,0.000717,8.13E-05,-1.4690671,TFDP1
5549,ILMN_1731233,0.000723,8.22E-05,1.713674,BCAT1
5551,ILMN_1789196,0.000723,8.23E-05,-1.3953709,CX3CR1
5556,ILMN_1747344,0.000726,8.27E-05,1.048181,ZDHHC1
5559,ILMN_1674402,0.000728,8.29E-05,1.2556294,ARSD
5563,ILMN_2302118,0.000729,8.32E-05,-1.8455974,ITGB2
5570,ILMN_1679838,0.000731,8.35E-05,-2.2099001,TMEM97
